state,year,month_name,pollutant_value,temperature,humidity,wind_speed,precipitation_total
Johor,2019,April,54.84722222222222,28.3619083721434,85.13105314427969,3.6328282281632207,4.758599256696142
Johor,2019,August,64.17775537634408,28.882769838503545,84.24891367491577,5.517836393214036,1.2161637870487427
Johor,2019,December,33.989656381486675,26.296201045779533,92.5208088784548,7.661135417778252,6.947004947355068
Johor,2019,February,46.7914869679355,27.74496644295302,80.28486204325131,10.354213273676361,
Johor,2019,January,42.981163807601746,27.459005376344088,81.96303763440861,11.223790322580646,
Johor,2019,July,56.21942204301075,28.325042718815265,86.45171824568065,4.88131763812417,2.245924847843345
Johor,2019,June,48.64996591683708,28.055300487276668,90.85595837897043,3.8432722541472404,2.0498750630994444
Johor,2019,March,60.624957439564184,28.65258403841756,80.00077749828493,5.330825520237823,1.2274014880132267
Johor,2019,May,55.69745491319737,28.464537983118614,88.8380386494891,3.7835295424255886,4.229992040329
Johor,2019,November,51.09433229813665,27.488085488864478,89.53927501497904,4.7353105652087075,4.2737228831350595
Johor,2019,October,56.50728319783198,27.714039566049777,89.02947704081632,2.866670918367347,4.62941435768262
Johor,2019,September,84.79965277777778,28.80533734939759,85.11891338392964,4.822334658474882,1.7259932954379829
Johor,2020,April,40.98007246376812,28.931453858393,89.26739584369096,4.470826290146166,2.165641174422653
Johor,2020,August,48.65760869565217,26.980754814527597,85.54596096678299,2.651428271371561,2.513370646766169
Johor,2020,December,40.640890759249515,26.789826996788566,81.93174142753548,2.745463970969414,2.8583093396787627
Johor,2020,February,37.36353383458647,27.265876777251183,89.93262659017212,8.705537540533799,0.5402292701566679
Johor,2020,January,37.03033491145011,27.409696658097687,91.10911053984576,7.940524421593831,2.6158672168952544
Johor,2020,July,41.36433172302738,26.40288040075141,88.07672197871008,2.2373453453453456,6.363859880064355
Johor,2020,June,43.75772797527048,27.89897711511789,92.43849618849619,3.772920997920998,5.071914942528736
Johor,2020,March,45.59819851642529,28.62653130287648,87.20252115059222,6.081049069373942,1.9130687471732248
Johor,2020,May,42.67174220963173,28.78363864249904,92.3961156626506,3.5444722891566265,3.385460785416901
Johor,2020,November,39.28873502994012,26.45411876259334,85.52631267038046,1.4897593931492237,6.375178896300788
Johor,2020,October,49.103105373342636,27.7562938895294,80.53940886699507,3.1383922020752544,3.416550785599406
Johor,2020,September,43.039241334205364,26.506307643379625,85.89367115445775,2.716537686844058,3.4880595521080946
Johor,2021,April,52.86528403967538,27.394548814290115,84.29121650754541,2.822340622112719,5.244131125380196
Johor,2021,August,42.884513974336436,26.859693507940932,86.54025076623014,3.212265254945667,4.465288934799781
Johor,2021,December,38.53498158863756,27.242870677404074,87.81271316911418,4.364927759355755,1.9945584415584416
Johor,2021,February,51.481780579082134,27.083576061681555,77.59344021539592,5.466521845551339,0.8319691803278688
Johor,2021,January,36.72655964976286,25.83963669950739,83.73374384236453,4.54695197044335,7.826801224770356
Johor,2021,July,50.78377902885292,27.71138336187046,83.0377634764126,3.184548621361516,2.1143384018117115
Johor,2021,June,52.074220861106106,27.37882456250392,84.10742645675218,2.6644505770195686,3.8931150027578596
Johor,2021,March,50.10488855590935,27.347007200720075,82.70465796579659,3.6600528802880286,2.5768490797546013
Johor,2021,May,46.70380719524974,28.06510565391205,83.94259470778603,2.8241766609556445,1.733448733547174
Johor,2021,November,43.619565217391305,26.898177238682308,89.35974680188241,3.298502021608007,2.5980391294790066
Johor,2021,October,52.03672106824926,27.60762273132996,86.70834870574234,3.5467896459387087,4.29205719135601
Johor,2021,September,45.43295249549008,27.246186172356225,85.79346036497611,3.451131195670946,5.5298631684659805
Johor,2022,April,50.24315006350935,27.68966810320703,87.81127895266869,2.9817052702249076,2.7698382963143766
Johor,2022,August,50.4895921475715,27.27047042130539,88.46245975882577,3.0835597751950674,3.268062310482193
Johor,2022,December,38.388674172407995,27.197180955790227,89.71480221943797,4.714597880555328,0.797396947036648
Johor,2022,February,34.05331549780241,26.786453045685278,87.65664208105322,3.6789260786802034,4.22861370301253
Johor,2022,January,38.247514390371535,27.037461143183403,85.05269301528898,4.604447687329484,1.310960744524526
